,county,covid-19,Total Population,gender,poverty,education,ethnicity,white,black,american indian,asian,native hawaiian,income,marriage,non-white
2400,"Smith County, Tennessee",2045,19926,9899,1187,1722,518,18054,356,61,84,0,42452,11098.782,501
2401,"Stewart County, Tennessee",883,13553,6981,620,1261,336,12321,171,74,76,2,44108,6993.348,321
2402,"Sullivan County, Tennessee",10862,157707,81010,9738,19179,3548,143354,3197,350,1270,36,45789,80272.863,4817
2403,"Sumner County, Tennessee",15789,187680,96074,8873,27326,12870,155169,15537,476,2932,116,52403,102660.96,18945
2404,"Tipton County, Tennessee",5409,61562,31185,3464,4767,1686,44925,10760,180,393,39,43147,32135.364,11333
2405,"Trousdale County, Tennessee",2159,10910,4242,273,658,375,8786,1917,26,27,0,32960,4756.76,1970
2406,"Unicoi County, Tennessee",1446,17821,8841,1758,1641,1107,16175,44,38,37,0,39357,8767.932,119
2407,"Union County, Tennessee",1221,19678,10026,1398,903,404,18642,53,33,36,5,35370,10704.832,122
2408,"Van Buren County, Tennessee",545,5813,2930,313,196,83,5866,20,7,10,1,34084,3284.345,37
2409,"Warren County, Tennessee",4395,40971,20508,3076,2628,3943,33980,1090,84,258,10,37857,20936.181,1432
2410,"Washington County, Tennessee",10223,128874,66071,8725,18779,6136,112606,5511,289,1980,53,47940,64437.0,7780
2411,"Wayne County, Tennessee",2417,16638,7498,1092,894,379,14503,878,18,27,1,32631,7553.652,923
2412,"Weakley County, Tennessee",3071,33377,16983,2875,2796,905,27813,2593,52,192,3,41159,16488.238,2837
2413,"White County, Tennessee",2737,27087,14077,1502,1596,736,24833,405,75,132,10,36062,14085.24,612
2414,"Williamson County, Tennessee",17903,232380,118474,5076,61783,14261,200408,9709,393,12879,115,94748,147328.92,22981
2415,"Wilson County, Tennessee",12476,140604,71674,5966,23951,8375,118889,10099,405,3086,44,53628,83237.568,13590
2416,"Anderson County, Texas",4538,57917,22479,2496,3184,11111,33098,11430,193,381,13,38807,25020.144,12004
2417,"Andrews County, Texas",1416,18227,9187,1406,1213,10400,7405,192,96,102,0,50248,9824.353,390
2418,"Angelina County, Texas",5696,87119,44506,5587,7593,19732,49970,12872,200,891,30,42536,41991.358,13963
2419,"Aransas County, Texas",730,24220,12229,2769,2946,6158,15816,241,142,480,15,54374,13006.14,863
2420,"Archer County, Texas",553,8754,4363,433,922,742,7356,30,71,18,0,55290,5042.304,119
2421,"Armstrong County, Texas",106,1950,1058,38,235,144,1593,6,17,10,0,60233,1201.2,33
2422,"Atascosa County, Texas",2923,50194,24991,2116,3702,31178,16066,340,116,170,15,41599,25900.104,626
2423,"Austin County, Texas",1030,29892,14979,1160,3422,8052,18480,2352,78,201,8,55686,17815.632,2631
2424,"Bailey County, Texas",718,6916,3461,283,474,4540,2190,49,24,8,0,49737,3043.04,81
2425,"Bandera County, Texas",571,22770,11443,1348,2792,4010,15595,102,101,95,11,48461,12068.1,298
2426,"Bastrop County, Texas",3782,86839,42750,3839,8672,41484,45751,5460,312,718,63,42177,42637.949,6490
2427,"Baylor County, Texas",211,3560,1841,193,447,439,2797,52,11,9,0,53984,2189.4,72
2428,"Bee County, Texas",2668,32609,12644,2360,1587,19392,8600,2316,54,211,2,31834,12097.939,2581
2429,"Bell County, Texas",13132,355700,178674,22035,39098,93467,156780,80759,1448,10884,3454,46594,175715.8,93091
2430,"Bexar County, Texas",115697,1978826,1001524,130826,246078,1190958,535732,147875,4554,65217,2726,48569,833085.746,217646
2431,"Blanco County, Texas",280,11733,5806,447,1819,2092,8707,68,36,38,0,58805,6828.606,142
2432,"Borden County, Texas",18,653,344,7,157,86,528,1,0,0,0,66783,441.428,1
2433,"Bosque County, Texas",796,18428,9369,682,1773,3321,13621,244,83,80,3,45635,10761.952,407
2434,"Bowie County, Texas",4001,93622,46371,6924,9529,7602,55855,23084,554,1082,69,44151,42504.388,24720
2435,"Brazoria County, Texas",21271,368062,182089,12695,51192,115202,161833,53668,1022,26231,129,51812,201697.976,80921
2436,"Brazos County, Texas",14273,226370,112188,28778,35566,63067,123035,23569,502,14621,210,43430,86246.97,38692
2437,"Brewster County, Texas",880,9231,4744,611,2027,3963,4948,162,30,94,11,52483,4707.81,286
2438,"Briscoe County, Texas",89,1348,563,73,155,368,1008,17,4,0,0,45758,667.26,21
2439,"Brooks County, Texas",594,7100,3554,1243,564,6242,724,8,9,29,0,41529,2641.2,46
2440,"Brown County, Texas",2797,37805,18985,2024,4136,8211,26672,1353,134,269,27,42771,19507.38,1756
2441,"Burleson County, Texas",935,18237,9167,901,2162,3712,11258,1852,65,70,0,49975,10632.171,1987
2442,"Burnet County, Texas",1957,47548,24001,1173,6060,11199,34810,579,183,424,14,53751,27482.744,1186
2443,"Caldwell County, Texas",2400,42817,20964,3437,3081,25468,16560,2225,129,227,4,38734,20038.356,2581
2444,"Calhoun County, Texas",1200,21470,10418,672,1643,9858,8374,361,34,1112,0,52180,11357.63,1507
2445,"Callahan County, Texas",801,13959,7051,766,1731,1306,11555,118,66,52,7,45798,7482.024,236
2446,"Cameron County, Texas",29525,422135,216311,47956,33094,376680,37107,1405,365,2596,80,33690,203469.07,4366
2447,"Camp County, Texas",766,12938,6665,1298,1276,3222,6734,1877,28,105,8,40272,6261.992,2010
2448,"Carson County, Texas",284,5957,3002,385,818,558,4873,19,46,19,1,48021,3466.974,84
2449,"Cass County, Texas",1297,30002,15718,2093,2735,1336,21028,4518,155,119,10,41275,16381.092,4792
2450,"Castro County, Texas",781,7561,3761,590,589,4784,2328,95,39,22,4,71612,3856.11,156
2451,"Chambers County, Texas",2627,42571,21151,3036,4427,10952,29858,3148,161,622,0,59687,25414.887,3931
2452,"Cherokee County, Texas",3026,52341,25578,2749,4092,11797,30095,6359,128,263,18,38190,27845.412,6750
2453,"Childress County, Texas",1217,7219,2646,189,779,1942,3852,572,20,51,2,34028,2793.753,643
2454,"Clay County, Texas",710,10444,5215,523,1349,641,8941,35,78,50,0,48038,6475.28,163
2455,"Cochran County, Texas",204,2860,1369,342,118,1527,912,62,6,0,0,44903,1392.82,68
2456,"Coke County, Texas",391,3298,1707,110,375,661,2473,7,15,1,6,45856,2127.21,23
2457,"Coleman County, Texas",416,8281,4018,524,785,1192,6013,142,36,32,0,47128,4637.36,210
2458,"Collin County, Texas",48423,1006038,510490,33852,236934,169158,542472,108100,3874,188365,613,71246,585514.116,300339
2459,"Collingsworth County, Texas",209,2939,1424,256,348,832,1617,108,23,7,1,44903,1478.317,138
2460,"Colorado County, Texas",1012,21357,10805,1013,2136,5990,11761,2222,13,80,0,51732,10571.715,2315
2461,"Comal County, Texas",6239,148921,75302,5309,27032,43590,105250,3584,514,1844,127,62994,86969.864,5942
2462,"Comanche County, Texas",1011,13597,6756,944,1515,3867,9197,39,49,38,3,47959,7614.32,126
2463,"Concho County, Texas",210,3018,1095,136,263,1033,2097,69,9,19,1,41219,1481.838,97
2464,"Cooke County, Texas",2300,40428,20380,1624,4164,8519,29404,1181,360,307,13,54759,22720.536,1848
2465,"Coryell County, Texas",3544,75576,37853,2417,5681,16482,46213,11760,414,1816,1041,38222,33480.168,13990
2466,"Cottle County, Texas",152,1624,883,160,130,327,902,96,2,0,1,68268,693.448,98
2467,"Crane County, Texas",509,4739,2288,93,281,3158,1342,70,14,22,0,49749,2672.796,106
2468,"Crockett County, Texas",519,3393,1792,136,130,1920,1080,18,9,10,0,46364,2300.454,37
2469,"Crosby County, Texas",341,5753,2854,466,463,2829,2076,117,8,12,0,41146,2813.217,137
2470,"Culberson County, Texas",297,2183,973,153,211,1645,445,20,11,28,0,69350,711.658,59
2471,"Dallam County, Texas",458,7272,3579,237,612,3707,3119,74,51,10,3,65132,4101.408,135
2472,"Dallas County, Texas",193318,2622634,1329339,157957,377368,1057835,724987,564741,6743,181314,1175,65401,1182807.934,752798
2473,"Dawson County, Texas",1429,12849,5786,863,974,6767,4590,847,23,56,4,42595,5422.278,926
2474,"DeWitt County, Texas",1426,20217,9694,860,1339,6890,10854,1557,32,70,2,60890,10431.972,1659
2475,"Deaf Smith County, Texas",2401,18617,9295,1156,962,13925,4233,107,47,44,0,54950,10257.967,198
2476,"Delta County, Texas",147,5277,2909,290,525,394,4189,312,42,37,5,43628,3023.721,391
2477,"Denton County, Texas",39182,861690,437846,31365,185320,182778,485646,95386,3582,92751,650,63283,464450.91,191719
2478,"Dickens County, Texas",122,2182,1121,126,199,512,1178,18,0,1,2,38730,1173.916,19
2479,"Dimmit County, Texas",625,10232,5329,2005,563,7487,898,72,8,68,10,44874,4297.44,148
2480,"Donley County, Texas",233,3317,1674,208,285,356,2537,167,27,10,1,45336,1701.621,204
2481,"Duval County, Texas",883,11194,5511,1008,382,7962,937,145,13,45,0,42410,4533.57,203
2482,"Eastland County, Texas",822,18289,9156,1408,1599,2934,13653,335,96,95,16,65416,9437.124,526
2483,"Ector County, Texas",11543,162067,79662,10056,12097,100051,51023,7430,568,2257,327,49887,77305.959,10255
2484,"Edwards County, Texas",183,1944,943,12,196,718,651,2,5,11,1,55329,748.44,18
2485,"El Paso County, Texas",98540,836915,423844,61140,89746,715351,98219,24415,2365,10692,1527,41818,377448.665,37472
2486,"Ellis County, Texas",13216,179484,90884,6074,20644,52032,106495,23738,710,1525,202,49333,101946.912,25973
2487,"Erath County, Texas",3015,42226,21733,3555,6180,9254,30006,1194,215,348,13,43900,20057.35,1757
2488,"Falls County, Texas",1185,17281,9107,1825,1140,3965,8707,3708,55,51,8,39865,6912.4,3814
2489,"Fannin County, Texas",1872,35046,16474,1991,3135,4218,27042,2199,309,145,20,42562,18258.966,2653
2490,"Fayette County, Texas",1290,25247,12661,928,3104,5216,17041,1383,50,67,6,57962,13860.603,1500
2491,"Fisher County, Texas",221,3827,1936,209,461,973,2496,92,15,13,2,49100,2200.525,120
2492,"Floyd County, Texas",527,5782,2943,312,428,3067,2079,125,7,12,1,42627,3307.304,144
2493,"Foard County, Texas",70,1207,598,67,84,197,845,19,0,3,1,52630,691.611,22
2494,"Fort Bend County, Texas",36324,790892,402637,29981,150281,198580,243726,167964,1269,181522,276,61791,462671.82,350755
2495,"Franklin County, Texas",437,10767,5319,539,1731,1455,7876,394,39,68,6,44725,6234.093,501
2496,"Freestone County, Texas",922,19744,9456,901,1653,3155,12817,2740,64,66,11,40407,9773.28,2870
2497,"Frio County, Texas",1803,20013,7818,492,602,14171,3053,705,49,199,9,33407,6804.42,953
2498,"Gaines County, Texas",1234,21077,10399,1677,897,8401,12554,241,42,72,3,47826,11550.196,355
2499,"Galveston County, Texas",21429,337600,171576,15310,50992,88636,191358,43120,1036,12202,223,57941,173864.0,56358
2500,"Garza County, Texas",261,6028,2222,304,434,3272,2162,230,28,25,0,31223,2845.216,283
2501,"Gillespie County, Texas",1419,26668,13784,1272,4836,5766,19884,84,69,127,1,68885,15760.788,280
2502,"Glasscock County, Texas",91,1447,650,150,195,387,710,8,0,0,3,87334,946.338,8
2503,"Goliad County, Texas",282,7578,3809,264,641,2288,4246,235,18,24,0,49513,3932.982,277
2504,"Gonzales County, Texas",1638,20828,10205,933,1193,9897,8159,1075,41,63,6,47272,10538.968,1179
2505,"Gray County, Texas",1679,22063,10363,1190,1594,6347,13025,835,141,127,0,45091,11097.689,1103
2506,"Grayson County, Texas",6544,133527,68390,7040,13341,20868,95211,7448,1876,1958,58,47045,67564.662,11282
2507,"Gregg County, Texas",6923,123633,63541,8476,12334,24040,68050,24974,424,1614,47,49152,58972.941,27012
2508,"Grimes County, Texas",1794,28447,13106,1726,2223,7361,16910,3824,85,102,8,39033,13768.348,4011
2509,"Guadalupe County, Texas",6937,163030,82389,6324,20493,65233,84063,11947,476,3066,353,49405,88199.23,15489
2510,"Hale County, Texas",5152,33463,15945,2147,2451,19489,10693,1381,99,149,30,38674,15593.758,1629
2511,"Hall County, Texas",220,3025,1560,225,279,950,1589,190,7,9,0,35416,1536.7,206
2512,"Hamilton County, Texas",493,8434,4199,370,933,1045,6805,32,37,36,2,65685,4166.396,105
2513,"Hansford County, Texas",598,5431,2647,161,728,2615,2552,12,16,9,3,66588,3084.808,37
2514,"Hardeman County, Texas",257,3958,2011,303,302,818,2441,130,14,18,1,45863,2006.706,162
2515,"Hardin County, Texas",3352,57356,29605,3050,5637,3417,46934,3037,190,399,34,49159,31488.444,3626
2516,"Harris County, Texas",237727,4680609,2356526,309455,659081,2034709,1309593,885517,8432,344762,3199,60183,2204566.839,1238711
2517,"Harrison County, Texas",2510,66547,34294,5385,6638,9839,42039,13448,294,483,28,45396,34471.346,14225
2518,"Hartley County, Texas",319,5588,2207,153,595,1631,3403,191,15,24,5,76005,2782.824,230
2519,"Haskell County, Texas",314,5711,2665,415,420,1377,3628,181,28,22,5,46070,2906.899,231
2520,"Hays County, Texas",11874,222827,112108,13309,36916,92871,121568,9004,599,4822,144,50212,106511.306,14425
2521,"Hemphill County, Texas",342,3901,1765,155,392,1137,2090,4,18,10,0,61340,2250.877,32
2522,"Henderson County, Texas",3675,81969,41728,5716,7086,11242,61854,4705,414,510,31,43356,44017.353,5629
2523,"Hidalgo County, Texas",50824,861137,439208,108325,70600,800001,53338,3364,635,8604,78,31153,415068.034,12603
2524,"Hill County, Texas",2210,36109,18045,1385,3041,7884,24123,2055,137,188,15,44776,19354.424,2380
2525,"Hockley County, Texas",1890,22986,11531,1525,1710,10624,9752,565,82,49,4,46051,12067.65,696
2526,"Hood County, Texas",3908,60025,30787,1851,9018,7958,49815,495,340,468,53,55132,37815.75,1303
2527,"Hopkins County, Texas",2239,36708,18683,1591,3956,6484,25976,2373,198,277,4,45219,20226.108,2848
2528,"Houston County, Texas",1098,22942,10556,1590,1913,3071,12957,5163,94,138,8,44693,10094.48,5395
2529,"Howard County, Texas",3936,36213,15836,2579,2313,16174,15672,1520,211,386,12,45105,15680.229,2117
2530,"Hudspeth County, Texas",445,4687,2297,331,297,2036,1094,6,6,10,0,26835,2099.776,22
2531,"Hunt County, Texas",3666,96202,49017,6161,9331,19673,65598,7812,722,979,151,42819,48582.01,9513
2532,"Hutchinson County, Texas",1176,21105,10317,1251,1733,4961,13783,416,273,105,2,46860,10151.505,794
2533,"Irion County, Texas",70,1553,753,139,173,349,1112,6,9,0,1,72353,953.542,15
2534,"Jack County, Texas",417,8888,3798,582,576,1521,6358,294,35,41,5,41038,4595.096,370
2535,"Jackson County, Texas",1085,14822,7621,685,1246,4829,8510,937,36,158,5,47642,8300.32,1131
2536,"Jasper County, Texas",1502,35562,17986,2514,1985,2198,23795,5572,127,114,16,43486,17781.0,5813
2537,"Jeff Davis County, Texas",108,2245,1075,289,243,613,1282,0,6,14,0,48623,1221.28,20
2538,"Jefferson County, Texas",13606,253136,123680,21783,23338,58915,96047,83856,622,9943,66,46547,114417.472,94421
2539,"Jim Hogg County, Texas",323,5187,2484,600,277,4281,414,5,15,26,5,36847,2240.784,46
2540,"Jim Wells County, Texas",2770,40796,20563,4962,3269,30835,6963,180,58,140,15,46483,19663.672,378
2541,"Johnson County, Texas",11092,171359,85784,8593,16165,42613,119226,6446,840,1726,929,47654,94932.886,9012
2542,"Jones County, Texas",2351,19874,7452,588,1365,5504,11485,1978,66,111,4,35520,8645.19,2155
2543,"Karnes County, Texas",1273,15547,6373,1344,1330,7734,5388,1116,26,145,1,61330,6747.398,1287
2544,"Kaufman County, Texas",9274,129792,65923,6530,12793,36165,78626,21541,623,2107,70,47580,67881.216,24271
2545,"Kendall County, Texas",1426,45491,23181,1378,9311,10029,31767,315,138,355,36,84853,26475.762,808
2546,"Kenedy County, Texas",21,391,198,3,1,261,73,0,7,0,1,46296,201.365,7
2547,"Kent County, Texas",57,704,383,12,88,81,657,2,3,0,0,51139,391.424,5
2548,"Kerr County, Texas",2353,52195,26918,2842,7010,13598,35791,690,156,576,39,56093,27402.375,1422
2549,"Kimble County, Texas",205,4375,2333,301,522,986,3136,8,14,33,3,48071,2336.25,55
2550,"King County, Texas",6,279,123,101,24,25,230,0,0,0,4,81541,135.315,0
2551,"Kinney County, Texas",144,3674,1487,192,372,1470,1489,36,21,10,2,35119,1679.018,67
2552,"Kleberg County, Texas",1700,30725,15213,4192,3783,21920,6728,995,83,784,1,43560,13058.125,1862
2553,"Knox County, Texas",160,3679,1862,142,308,1130,1935,146,8,24,3,42857,2030.808,178
2554,"La Salle County, Texas",616,7551,3139,547,345,4908,1467,221,3,4,0,41114,3269.583,228
2555,"Lamar County, Texas",4109,49705,25932,4817,4720,4412,35354,6378,751,474,25,46538,24703.385,7603
2556,"Lamb County, Texas",1642,13018,6545,1065,816,7449,4981,392,15,4,5,50667,6196.568,411
2557,"Lampasas County, Texas",731,21152,10323,943,1900,4179,15132,700,115,242,86,54153,11950.88,1057
2558,"Lavaca County, Texas",1690,20072,10305,803,1925,3936,14564,1173,30,74,5,57399,11200.176,1277
2559,"Lee County, Texas",962,17174,8733,963,1232,4479,10612,1631,47,57,1,53791,9377.004,1735
2560,"Leon County, Texas",747,17325,8744,892,1418,2446,11659,921,54,111,6,42878,10135.125,1086
2561,"Liberty County, Texas",4230,86173,43690,4693,4392,30797,50044,7024,291,466,12,40904,42655.635,7781
2562,"Limestone County, Texas",1251,23364,11398,1787,1949,5013,12530,3636,72,160,18,41072,11121.264,3868
2563,"Lipscomb County, Texas",218,3301,1753,215,382,1123,1786,4,29,2,0,83655,1911.279,35
2564,"Live Oak County, Texas",818,12175,5519,699,610,4790,5968,205,49,35,3,38734,5527.45,289
2565,"Llano County, Texas",658,21452,10894,728,3180,2508,17530,97,115,121,4,52538,11712.792,333
2566,"Loving County, Texas",1,117,34,0,0,1,56,0,1,0,0,49072,43.758,1
2567,"Lubbock County, Texas",42134,308392,156490,27659,42936,109170,154994,25663,1436,9490,180,46502,133842.128,36589
2568,"Lynn County, Texas",517,5886,2857,351,610,2352,2960,105,15,10,4,40351,3472.74,130
2569,"Madison County, Texas",1112,14329,6148,368,980,3415,6984,2587,48,101,0,35865,6748.959,2736
2570,"Marion County, Texas",261,9987,5159,737,1026,389,6869,1846,69,48,0,42536,5133.318,1963
2571,"Martin County, Texas",526,5676,2773,113,419,2255,2780,81,22,9,1,64602,3445.332,112
2572,"Mason County, Texas",262,4248,2159,97,722,883,2948,4,0,2,0,49261,2599.776,6
2573,"Matagorda County, Texas",1889,36791,18416,3373,3170,15455,15355,3734,99,700,7,48150,19646.394,4533
2574,"Maverick County, Texas",6437,58098,29223,5925,4350,54936,1574,129,835,182,4,35133,28351.824,1146
2575,"McCulloch County, Texas",447,7970,3802,436,640,2369,4904,92,7,39,0,41306,3626.35,138
2576,"McLennan County, Texas",19026,254045,130061,20408,27991,68587,139693,36130,901,4873,146,45772,113050.025,41904
2577,"McMullen County, Texas",64,724,390,13,47,224,353,1,1,3,5,73356,446.708,5
2578,"Medina County, Texas",2732,50869,24597,2194,4719,25455,22324,1252,158,215,38,44456,26095.797,1625
2579,"Menard County, Texas",170,2108,949,121,264,662,1231,12,7,5,3,41220,1083.512,24
2580,"Midland County, Texas",11506,171238,84695,7341,22522,73331,76487,10465,686,3891,152,126631,86303.952,15042
2581,"Milam County, Texas",1432,24797,12657,1337,1867,6264,15367,2097,67,111,11,40552,12572.079,2275
2582,"Mills County, Texas",271,4877,2446,191,560,728,3498,25,10,4,0,45663,2594.564,39
2583,"Mitchell County, Texas",480,8256,3251,150,515,3454,4328,925,34,54,1,37113,3327.168,1013
2584,"Montague County, Texas",1394,19640,10175,1356,1744,2361,16342,73,155,84,4,44790,12196.44,312
2585,"Montgomery County, Texas",26650,590188,298062,20899,95569,164089,371403,34177,1884,21436,634,65516,341718.852,57497
2586,"Moore County, Texas",2058,21169,10004,675,1314,12647,6499,654,97,982,1,51476,12256.851,1733
2587,"Morris County, Texas",493,12357,6377,447,877,1182,7716,2448,70,35,9,43036,6895.206,2553
2588,"Motley County, Texas",73,1362,655,28,138,153,858,7,0,0,0,39505,725.946,7
2589,"Nacogdoches County, Texas",2992,65080,33894,7100,6718,13597,37158,10567,191,760,10,41188,29025.68,11518
2590,"Navarro County, Texas",4026,49475,25187,2661,3697,16049,26996,6286,163,393,734,42869,27112.3,6842
2591,"Newton County, Texas",392,13788,6690,1253,700,344,9249,2075,59,24,0,36839,7597.188,2158
2592,"Nolan County, Texas",1195,14901,7231,1110,1085,5354,8138,625,53,103,2,48017,7495.203,781
2593,"Nueces County, Texas",28744,362151,183227,23277,35183,217052,106165,12651,907,7712,281,47999,164054.403,21270
2594,"Ochiltree County, Texas",894,9907,5021,311,801,5470,4245,14,31,28,2,59892,5656.897,73
2595,"Oldham County, Texas",149,2110,902,66,263,313,1325,33,6,10,0,56033,1185.82,49
2596,"Orange County, Texas",5089,83776,42290,5387,7322,7265,64935,7981,343,1108,13,48173,44820.16,9432
2597,"Palo Pinto County, Texas",1863,28792,14712,1789,2601,5614,20778,552,149,211,12,45095,14021.704,912
2598,"Panola County, Texas",1015,23186,11825,1506,1887,2190,16098,3244,96,99,7,47191,12334.952,3439
2599,"Parker County, Texas",8700,138447,69443,4513,17112,19819,117747,1636,878,990,97,59929,81129.942,3504
2600,"Parmer County, Texas",1079,9639,4756,410,689,6504,3187,53,11,14,0,57137,5648.454,78
2601,"Pecos County, Texas",1321,15725,6804,1018,817,10845,3473,505,33,143,0,40391,6808.925,681
2602,"Polk County, Texas",2180,50155,23192,3762,3963,7345,34808,4869,914,340,0,42830,25127.655,6123
2603,"Potter County, Texas",15181,118323,57360,8719,8441,45193,50153,11999,636,6036,20,49498,55020.195,18671
2604,"Presidio County, Texas",598,6808,3457,663,649,4991,961,25,16,85,0,53222,3751.208,126
2605,"Rains County, Texas",532,12001,5913,558,970,1109,10130,264,85,55,1,38200,6576.548,404
2606,"Randall County, Texas",14006,136005,69242,5114,20148,31583,95457,4567,794,2604,54,52391,72490.665,7965
2607,"Reagan County, Texas",321,3766,1705,117,177,2283,968,33,12,19,1,54091,2195.578,64
2608,"Real County, Texas",207,3429,1889,257,279,692,1940,22,8,12,3,40667,1553.337,42
2609,"Red River County, Texas",450,12115,6385,1016,1077,766,8499,1738,102,51,0,47762,6239.225,1891
2610,"Reeves County, Texas",1461,15546,5988,1117,806,12510,1697,224,27,165,3,44232,5829.75,416
2611,"Refugio County, Texas",455,7015,3648,535,385,3306,2864,400,18,27,0,48266,3009.435,445
2612,"Roberts County, Texas",46,784,384,31,96,50,717,2,2,0,0,52804,526.848,4
2613,"Robertson County, Texas",895,17094,8757,890,1500,3528,9505,3095,29,104,21,45866,8991.444,3228
2614,"Rockwall County, Texas",6227,101175,51284,1441,18572,20560,70198,8179,479,3306,75,64943,64043.775,11964
2615,"Runnels County, Texas",894,10280,5092,554,941,3354,6062,132,39,24,6,44352,5499.8,195
2616,"Rusk County, Texas",2565,53988,25172,2991,3946,9579,32022,8240,195,231,18,39551,26562.096,8666
2617,"Sabine County, Texas",391,10470,5471,919,831,393,8307,734,51,52,0,40477,6051.66,837
2618,"San Augustine County, Texas",473,8260,4162,1014,558,639,5270,1768,19,36,0,43642,4774.28,1823
2619,"San Jacinto County, Texas",424,28574,14511,1270,2066,4822,19170,2083,123,86,15,39298,15487.108,2292
2620,"San Patricio County, Texas",2944,66969,33063,4228,4880,38220,26613,994,198,845,66,48391,32145.12,2037
2621,"San Saba County, Texas",425,6004,2962,380,605,1749,3690,106,29,16,1,40340,3074.048,151
2622,"Schleicher County, Texas",217,2898,1422,272,291,1275,1102,15,4,7,2,46015,1686.636,26
2623,"Scurry County, Texas",1977,16918,7568,358,1304,7139,8637,599,60,82,5,47272,8509.754,741
2624,"Shackelford County, Texas",152,3291,1587,218,524,363,2612,20,6,14,0,86294,1819.923,40
2625,"Shelby County, Texas",1063,25263,12805,2764,1774,4685,14416,3805,50,364,14,44038,13111.497,4219
2626,"Sherman County, Texas",111,3046,1456,124,314,1315,1362,10,5,2,0,91855,1928.118,17
2627,"Smith County, Texas",12844,230184,119082,14226,28974,47281,134452,38003,746,4129,77,57076,116473.104,42878
2628,"Somervell County, Texas",737,8958,4444,448,1339,1687,7011,39,49,55,0,50164,4792.53,143
2629,"Starr County, Texas",6182,64032,32846,8167,3246,64393,1171,31,8,100,0,32146,27341.664,139
2630,"Stephens County, Texas",562,9358,4469,713,824,2204,6256,237,36,60,1,45759,4416.976,333
2631,"Sterling County, Texas",100,1274,643,4,83,449,867,3,4,1,2,63329,773.318,8
2632,"Stonewall County, Texas",86,1412,746,68,90,226,958,18,3,5,0,59419,842.964,26
2633,"Sutton County, Texas",397,3793,1805,356,289,2093,1200,6,5,6,0,56622,2427.52,17
2634,"Swisher County, Texas",623,7403,3391,639,697,3147,3219,407,18,10,0,53734,3397.977,435
2635,"Tarrant County, Texas",150004,2077153,1061673,99470,309952,620907,904884,358645,7033,127783,4147,55615,1015727.817,493461
2636,"Taylor County, Texas",11199,137521,70483,7837,15991,34756,87316,10980,589,2815,161,52429,66147.601,14384
2637,"Terrell County, Texas",61,903,428,6,149,370,352,8,0,5,0,61631,467.754,13
2638,"Terry County, Texas",1351,12408,5826,635,670,6569,4599,389,29,37,0,41634,6104.736,455
2639,"Throckmorton County, Texas",54,1500,809,115,156,145,1248,1,3,3,0,44582,904.5,7
2640,"Titus County, Texas",2534,32709,16596,1590,2537,13680,13410,2884,101,262,3,41207,17891.823,3247
2641,"Tom Green County, Texas",12818,118645,59396,5902,13662,47066,62390,4010,366,1704,143,52947,55288.57,6080
2642,"Travis County, Texas",50595,1250884,619098,70599,302765,421110,612824,96270,2762,99660,774,74032,565399.568,198692
2643,"Trinity County, Texas",339,14689,7404,1518,1088,1314,10533,1086,29,30,4,39206,8049.572,1145
2644,"Tyler County, Texas",786,21524,9818,1226,1674,1520,15302,2040,111,97,3,36694,9707.324,2248
2645,"Upshur County, Texas",1844,41386,21023,2556,3810,3986,31287,2908,261,177,9,39674,21769.036,3346
2646,"Upton County, Texas",269,3651,1849,191,258,1797,1318,59,11,4,0,50428,1865.661,74
2647,"Uvalde County, Texas",1900,26899,13814,2411,2723,17317,6613,107,25,158,6,45255,12104.55,290
2648,"Val Verde County, Texas",4696,49018,24063,3786,4350,38207,7836,538,57,351,35,41079,26224.63,946
2649,"Van Zandt County, Texas",2471,55970,28733,2972,4821,7071,47986,1517,328,272,30,42656,32742.45,2117
2650,"Victoria County, Texas",5881,92044,46900,5551,8322,42931,39330,5230,214,1391,35,53881,45377.692,6835
2651,"Walker County, Texas",6088,72295,30026,7931,7065,16578,39823,16382,251,1126,39,32334,27038.33,17759
2652,"Waller County, Texas",2038,53626,26968,3479,5129,18486,23494,12104,210,785,10,44779,24185.326,13099
2653,"Ward County, Texas",749,11745,5840,790,726,6325,4506,415,41,69,2,48109,6401.025,525
2654,"Washington County, Texas",1481,35275,18145,1431,4557,6425,22023,5555,75,547,14,58426,17708.05,6177
2655,"Webb County, Texas",26967,274847,140040,29558,21992,254354,9495,788,135,1300,25,35626,126979.314,2223
2656,"Wharton County, Texas",2423,41672,21092,2395,3538,16967,18130,5469,69,164,0,48384,21127.704,5702
2657,"Wheeler County, Texas",362,5187,2479,343,433,1227,3469,81,33,24,2,48691,2686.866,138
2658,"Wichita County, Texas",11047,132154,63621,9852,13827,25803,79694,13379,992,2647,140,46322,59733.608,17018
2659,"Wilbarger County, Texas",1378,12717,6532,1023,1106,3734,7012,1013,96,566,0,49537,5697.216,1675
2660,"Willacy County, Texas",1712,21419,9617,2154,885,17611,1805,445,47,160,2,31710,8331.991,652
2661,"Williamson County, Texas",22884,570437,289410,14154,110522,147088,336410,38557,1659,53982,592,56693,304613.358,94198
2662,"Wilson County, Texas",2135,50110,25055,2480,5768,19232,27877,693,148,229,24,49745,29615.01,1070
2663,"Winkler County, Texas",532,7822,3779,244,355,4732,2702,139,38,77,0,62259,4286.456,254
